monument,distance_km,trip_days,travelers,hotel_type,transport_mode,season,total_budget
Buddhist Caves Kanheri,2142,6,5,Luxury,Car,Summer,60202
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",468,5,3,Standard,Bus,Winter,22996
"Palace Complex at Ramnagar, Distt. Udhampur",1150,4,5,Luxury,Car,Winter,45001
Hazarduari Palace,1313,2,6,Budget,Bus,Summer,10174
Nagarjuna Kunda,820,9,7,Budget,Train,Summer,37859
Group of Monuments Mamallapuram,2187,5,2,Standard,Bus,Monsoon,17060
Shaniwarwada,55,5,1,Budget,Train,Monsoon,5908
"Sun Temple, Konark",1029,8,4,Luxury,Car,Summer,65054
Ancient Site of Vikramshila Antichak,1598,6,5,Standard,Train,Summer,32726
"Cave, Temple and Inscriptions, Junaar, Lenyadri",2416,6,6,Standard,Car,Monsoon,37162
Undavalli caves,1470,1,3,Standard,Train,Winter,9968
Kumbhalgarh Fort,1970,1,4,Budget,Bus,Monsoon,6388
Elephanta Caves,1969,2,4,Luxury,Train,Winter,26189
"Fort, Palakkad, Palakkad",2331,7,3,Standard,Bus,Summer,30318
"The palace situated in the fort, Burhanpur",1709,5,6,Luxury,Bus,Winter,53420
"Ancient site of Vaishali, Kolhua",2064,4,6,Standard,Car,Monsoon,27054
Raigad Fort,1661,6,2,Budget,Bus,Winter,17674
Tughluqabad,1653,1,6,Budget,Car,Winter,17802
"Fort St. Angelo, Kannur",1839,8,3,Budget,Car,Monsoon,23610
Qutub Minar,1483,9,1,Luxury,Train,Winter,69361
Ancient Site of Vikramshila Antichak,647,8,7,Budget,Bus,Winter,40369
Hauzkhas,1764,1,1,Budget,Train,Summer,6673
Pandulena Caves,1314,3,4,Budget,Train,Summer,13140
Group of Monuments (WH) Pattadakal,721,9,3,Luxury,Car,Summer,65692
Upper Fort Aguada,1997,8,5,Luxury,Train,Winter,80334
Fatehpur Sikri,584,2,1,Standard,Car,Winter,10590
"Ranghar Pavillion, Jaisagar",1876,2,6,Budget,Bus,Monsoon,9973
Aga  Khan Palace Building,623,3,6,Luxury,Bus,Winter,30514
Aurangabad Caves,1471,8,1,Budget,Bus,Winter,17077
"Janjira Fort, Murd",1229,1,3,Standard,Train,Summer,7649
Fatehpur Sikri,848,4,7,Budget,Bus,Summer,17100
Rani Lakshmi Bai Mahal,498,5,5,Luxury,Car,Winter,49327
Metcelf-Hall,1423,8,5,Budget,Car,Summer,35151
"Janjira Fort, Murd",2252,2,5,Budget,Car,Summer,22261
Baori at Abhaneri,97,5,5,Standard,Bus,Summer,22588
Observatory of Man Singh,1942,2,3,Budget,Bus,Monsoon,7477
Temple of Laxman and Old sites including sculptures sirpur,60,8,5,Luxury,Car,Monsoon,51445
Bir Singh Palace Datia,1014,2,7,Luxury,Car,Winter,29409
"Sun Temple, Konark",187,8,5,Budget,Train,Summer,25128
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1894,3,5,Budget,Car,Winter,26665
"Old Fort (Shahi Fort), Jaunpur",1770,8,3,Standard,Car,Summer,39571
Nagarjuna Kunda,1828,5,7,Budget,Car,Monsoon,25660
"The palace situated in the fort, Burhanpur",1398,2,3,Luxury,Train,Winter,21517
mattancherry Palace Museum Kochi,957,3,2,Luxury,Bus,Winter,25007
"Group of monument, Royal Palace Mandu",71,2,3,Standard,Train,Monsoon,5673
"Old Fort, Sholapur",2310,1,1,Budget,Train,Monsoon,8513
Tughluqabad,1118,5,3,Budget,Car,Monsoon,15443
Residency Building,556,3,5,Standard,Train,Winter,17695
Buddhist Caves Kanheri,1282,2,2,Luxury,Car,Monsoon,18045
Safdarjung Tomb,1509,9,3,Luxury,Bus,Summer,65913
Sher Shah's Tomb,2379,1,3,Luxury,Bus,Summer,11637
"Champaner Monuments, Pavagadh",2092,4,1,Standard,Train,Winter,20336
"Ancient site of Vaishali, Kolhua",530,7,5,Luxury,Train,Winter,67063
Ancient Buddhist Site known as Chaukhandi stupa,554,8,1,Luxury,Car,Summer,51931
Roopmati's Pavilion,433,6,3,Luxury,Car,Summer,44415
"Avantiswamin Temple, Avantipur, District Pulwama",384,8,5,Budget,Train,Winter,30904
Elephanta Caves,1636,6,1,Luxury,Bus,Summer,38787
"Sun Temple, Konark",399,4,5,Standard,Bus,Monsoon,15885
Agra Fort,1928,4,7,Budget,Bus,Summer,20424
Itimad-ud-Daulah-Tomb,1336,3,4,Standard,Car,Summer,21551
Qutub Minar,2166,9,1,Standard,Car,Monsoon,30459
Tomb of Rabia Durani (Bibi ka Maqbara),209,8,2,Budget,Train,Summer,16076
Group of Monuments (WH) Pattadakal,250,3,4,Luxury,Train,Winter,27312
"Fort Museum, Thirumayam",1988,1,7,Standard,Car,Monsoon,15247
Hoshang Shah's Tomb,335,7,4,Luxury,Train,Monsoon,41959
"Janjira Fort, Murd",1449,9,7,Standard,Bus,Monsoon,40959
Shaniwarwada,123,2,5,Budget,Train,Winter,8173
Daulatabad Fort,340,7,4,Standard,Train,Summer,29220
"Buddhist Monuments, Sanchi",1338,3,3,Budget,Train,Winter,13700
"Gingee Fort , Gingee",521,6,4,Standard,Bus,Monsoon,21028
Dariya Daulath Bagh,1024,8,4,Budget,Train,Winter,30218
Tomb of Lal Khan,433,1,7,Standard,Car,Monsoon,7531
Caves 1 t0 20 Udaygiri Vidisha,271,1,2,Luxury,Bus,Monsoon,4986
"Cave, Temple and Inscriptions, Junaar, Lenyadri",2423,7,4,Luxury,Train,Monsoon,49056
Suraj Kund,2437,5,2,Standard,Train,Monsoon,19571
Mausoleum,1828,3,5,Standard,Bus,Monsoon,14393
Ancient Site of Vikramshila Antichak,1641,8,1,Standard,Bus,Summer,24503
Sultanghari Tomb,1886,9,5,Budget,Train,Monsoon,27563
"Sun Temple, Konark",1651,6,5,Budget,Train,Winter,28214
Group of Monuments (WH) Pattadakal,216,6,3,Standard,Car,Monsoon,18603
Lord Cornwallis Tomb,304,8,4,Standard,Train,Summer,32319
"Group of Monuments, Hampi",593,4,4,Budget,Bus,Monsoon,10285
Shaniwarwada,2366,6,2,Standard,Car,Monsoon,29125
Rajarani Temple,1295,5,2,Standard,Train,Monsoon,15996
Site of Sahet mahet,2306,6,3,Standard,Bus,Monsoon,21886
"Sun temple, Modhera",2339,2,1,Luxury,Car,Summer,27262
Undavalli caves,252,8,4,Luxury,Bus,Winter,70014
"Palace Complex at Ramnagar, Distt. Udhampur",824,9,2,Standard,Train,Summer,30393
Metcelf-Hall,1189,1,4,Luxury,Train,Winter,14220
Rani Lakshmi Bai Mahal,274,9,7,Budget,Car,Monsoon,30824
Tomb of Lal Khan,1870,9,5,Luxury,Train,Monsoon,62806
Mausoleum,673,1,4,Luxury,Car,Monsoon,9905
"Rock-cut Jain Temple, Sittannavasasl",1142,3,4,Budget,Car,Summer,15444
Kalinjar Fort,1789,6,5,Budget,Train,Winter,29163
"Ancient site of Vaishali, Kolhua",2403,1,6,Standard,Car,Monsoon,18124
"Fort on Rock, Dindigual",1528,6,1,Luxury,Bus,Winter,47066
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1921,3,3,Luxury,Car,Winter,39553
Safdarjung Tomb,1139,5,4,Standard,Bus,Winter,27436
Ahom Raja's Palace,1895,4,7,Luxury,Train,Monsoon,33639
Itimad-ud-Daulah-Tomb,487,3,7,Standard,Bus,Summer,17921
Sher Shah's Tomb,935,7,4,Luxury,Car,Monsoon,46207
Tirumalai Nayak's Palace Srivilliputhur,1501,2,2,Luxury,Car,Summer,22946
Fatehpur Sikri,987,2,1,Standard,Bus,Summer,8732
"Ruined Fort, kangra",1329,5,4,Budget,Car,Summer,22778
Caves 1 t0 20 Udaygiri Vidisha,2344,6,5,Standard,Bus,Monsoon,26630
Sher Shah's Tomb,1266,3,7,Standard,Train,Winter,23671
Ram Bagh,107,5,6,Budget,Bus,Monsoon,14069
Bishnudol,1216,3,4,Budget,Train,Monsoon,10480
Daulatabad Fort,129,2,2,Standard,Train,Summer,7599
Deeg Bhawan,559,1,7,Budget,Bus,Summer,5897
"Buddhist Remains on hill top at Guntupalli, W.G.District",2086,8,1,Budget,Bus,Winter,17733
Ancient Buddhist Site known as Chaukhandi stupa,1046,5,4,Budget,Train,Summer,16166
"Bekal Fort, Pallikkare, Distt. Kasargod",594,3,1,Budget,Bus,Monsoon,4213
mattancherry Palace Museum Kochi,615,5,1,Standard,Train,Winter,19336
"Gingee Fort , Gingee",1469,7,4,Budget,Car,Monsoon,23815
Kalinjar Fort,1787,8,2,Standard,Car,Monsoon,29566
Golconda,1372,1,2,Budget,Car,Winter,12573
Piprahwa & Ganwaria,443,7,3,Standard,Bus,Summer,26861
Lord Cornwallis Tomb,2151,7,1,Standard,Car,Winter,39735
Hoshang Shah's Tomb,325,9,3,Standard,Bus,Monsoon,26394
Sultanghari Tomb,299,7,6,Budget,Train,Winter,29964
"Fort, Palakkad, Palakkad",1703,6,6,Luxury,Bus,Monsoon,42413
"Cave Temple & Inscriptions, Bhaja",2269,3,2,Budget,Train,Summer,12663
Hauzkhas,2026,3,6,Luxury,Train,Winter,36520
Warangal,1274,1,2,Standard,Car,Summer,12226
Elephanta Caves,2161,4,5,Budget,Bus,Winter,21232
"Gupta Temple & Varah Temple, Deogarh",1859,4,7,Standard,Bus,Winter,29343
"Fort St. Angelo, Kannur",808,4,6,Standard,Train,Summer,23111
"Champaner Monuments, Pavagadh",2026,9,3,Luxury,Train,Summer,67596
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1727,1,6,Budget,Train,Winter,10999
Sultanghari Tomb,1349,9,4,Standard,Train,Winter,47388
Fort Vattakottai,2030,7,6,Standard,Train,Summer,41295
Qutub Minar,1207,9,3,Luxury,Bus,Monsoon,52713
"Fort, Palakkad, Palakkad",1267,8,7,Budget,Car,Monsoon,33843
"Fort Museum, Thirumayam",150,1,5,Luxury,Train,Summer,7854
Jantar Mantar,1582,1,4,Budget,Bus,Monsoon,5147
Aga  Khan Palace Building,920,9,2,Budget,Train,Monsoon,14794
"Fort on Rock, Dindigual",1712,1,2,Budget,Bus,Winter,6099
Kotla Feroz Shah,2106,3,4,Budget,Car,Summer,22846
Mariam tomb Sikandra,915,9,5,Luxury,Bus,Summer,70982
Bir Singh Palace Datia,879,9,2,Luxury,Train,Summer,59742
Gwalior Fort,1325,3,6,Luxury,Train,Winter,33481
Itimad-ud-Daulah-Tomb,1756,1,5,Budget,Train,Monsoon,8236
"Group of four MaidansCharaideo, Sibasagar",535,4,5,Standard,Train,Summer,20075
Kumbhalgarh Fort,478,3,3,Budget,Car,Monsoon,8032
Gawilgarh Fort,409,7,2,Standard,Bus,Monsoon,18433
Ruins of Buddhist Temples and Images lalitgiri,2143,2,7,Standard,Train,Winter,21996
Gawilgarh Fort,1969,3,7,Luxury,Car,Winter,45849
Warangal,546,4,6,Luxury,Car,Summer,35690
"Western Group of Temples, Khajuraho",60,5,2,Luxury,Train,Monsoon,26955
Hazarduari Palace,2018,9,4,Budget,Bus,Monsoon,22402
Kondiote Caves,974,5,3,Standard,Car,Monsoon,20470
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",1466,6,4,Standard,Car,Monsoon,26955
Sher Shah's Tomb,2056,6,7,Standard,Bus,Monsoon,29844
Itimad-ud-Daulah-Tomb,2322,7,7,Standard,Bus,Winter,50946
Ruins of Buddhist Temples and Images lalitgiri,1272,3,4,Standard,Train,Summer,15997
Ahom Raja's Palace,2288,1,7,Standard,Car,Summer,20622
Cooch Bihar Palace,267,8,2,Luxury,Train,Monsoon,43528
Nagarjuna Kunda,339,1,6,Budget,Bus,Summer,3839
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",571,3,3,Luxury,Car,Monsoon,20694
Fatehpur Sikri,620,4,1,Luxury,Train,Winter,31589
Mariam tomb Sikandra,439,5,6,Budget,Train,Monsoon,15622
Kumbhalgarh Fort,2143,1,5,Luxury,Car,Summer,22361
Piprahwa & Ganwaria,150,5,5,Luxury,Bus,Summer,38395
Rajarani Temple,535,8,6,Budget,Train,Summer,30989
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",742,5,4,Luxury,Train,Monsoon,32240
Site of Sahet mahet,2148,6,7,Budget,Car,Winter,45858
Golconda,151,8,7,Luxury,Train,Summer,68891
"Fort, Palakkad, Palakkad",465,4,4,Luxury,Car,Monsoon,26202
Sultanghari Tomb,338,9,6,Budget,Train,Monsoon,26818
Elephanta Caves,1277,7,3,Standard,Bus,Monsoon,22740
Bishnupur Temples,2202,9,6,Luxury,Bus,Monsoon,64676
"Rani Ki-Vav, Patan",2397,7,7,Standard,Bus,Summer,42211
Agra Fort,1439,2,5,Luxury,Bus,Summer,18625
Chittaurgarh Fort,1094,3,1,Budget,Car,Monsoon,9888
"Fort Museum, Thirumayam",175,1,3,Budget,Car,Summer,2729
Ancient Remains on both Udaigiri & Khandagiri Hills,885,4,7,Standard,Car,Monsoon,22796
"Cave Temple & Inscriptions, Bhaja",1727,5,2,Budget,Car,Monsoon,15865
"Buddhist Remains on hill top at Guntupalli, W.G.District",1415,6,4,Luxury,Train,Monsoon,39115
Ram Bagh,2391,5,3,Standard,Train,Monsoon,20718
"Rudabai Step Well, Adalaj",1324,1,4,Standard,Car,Summer,13299
"Sun Temple, Konark",857,4,7,Luxury,Car,Winter,47802
"Fort St. Angelo, Kannur",2022,3,3,Luxury,Bus,Summer,25503
Bishnupur Temples,597,3,3,Standard,Car,Monsoon,12766
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",1506,5,2,Standard,Car,Monsoon,21103
"Fort on Rock, Dindigual",1425,3,5,Budget,Car,Winter,23181
"Bekal Fort, Pallikkare, Distt. Kasargod",418,6,4,Standard,Train,Monsoon,21312
Durga temple complex Aihole,886,4,7,Standard,Car,Monsoon,23093
Excavated Remains at Nalanda,844,8,7,Budget,Train,Winter,41373
"Sun temple, Modhera",326,6,4,Luxury,Bus,Summer,45133
Kotla Feroz Shah,664,7,2,Budget,Train,Monsoon,11526
Taj Mahal,485,2,2,Budget,Bus,Winter,4922
Taj Mahal,1146,1,3,Budget,Train,Summer,5404
Fatehpur Sikri,1293,5,2,Standard,Train,Summer,20607
Upper Fort Aguada,1528,8,2,Luxury,Car,Winter,72649
"Janjira Fort, Murd",259,2,1,Luxury,Bus,Winter,15660
Lohgad Fort,2342,2,7,Budget,Car,Winter,28575
Kotla Feroz Shah,1203,4,2,Luxury,Bus,Winter,33914
Group of Monuments (WH) Pattadakal,951,1,3,Luxury,Car,Winter,15958
Red Fort,704,9,7,Luxury,Train,Monsoon,66113
Chittaurgarh Fort,2199,6,3,Standard,Bus,Winter,30697
Aga  Khan Palace Building,1195,2,4,Luxury,Train,Winter,22064
"Group of monument, Royal Palace Mandu",1285,8,3,Budget,Car,Monsoon,21984
Ancient Site Bhangarh,848,1,4,Standard,Train,Winter,9325
Fatehpur Sikri,1026,1,6,Budget,Train,Monsoon,5879
Sher Shah's Tomb,361,2,1,Budget,Car,Winter,6593
Sher Shah's Tomb,905,8,5,Standard,Train,Winter,45087
Ahom Raja's Palace,1019,3,7,Budget,Bus,Winter,17563
"Cave Temple & Inscriptions, Bhaja",249,5,4,Luxury,Car,Winter,44771
Ancient Palace Leh,2343,5,5,Standard,Car,Summer,37078
Khan-I-Khana,2436,6,1,Budget,Train,Winter,19032
"Fort on Rock, Dindigual",1613,4,4,Budget,Car,Winter,24909
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",1788,2,6,Luxury,Car,Winter,32630
Ancient Buddhist Site known as Chaukhandi stupa,462,5,6,Luxury,Train,Winter,50454
Kumbhalgarh Fort,189,9,7,Luxury,Bus,Winter,91768
Daulatabad Fort,2389,5,5,Budget,Car,Summer,31741
"Bekal Fort, Pallikkare, Distt. Kasargod",1953,9,4,Luxury,Car,Winter,91846
Ellora Caves,244,8,5,Standard,Bus,Monsoon,29876
"Ranghar Pavillion, Jaisagar",2009,7,2,Budget,Bus,Winter,19659
Mausoleum,2420,8,1,Luxury,Bus,Summer,53721
Warangal,949,2,7,Standard,Car,Summer,16762
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",856,4,7,Luxury,Car,Winter,47277
Palace of Tipu Sultan,1401,2,6,Budget,Bus,Winter,12203
"Old Fort, Sholapur",2444,9,6,Standard,Bus,Winter,57530
Nagarjuna Kunda,1107,9,1,Luxury,Train,Monsoon,47669
"Fort St. Angelo, Kannur",977,2,1,Budget,Bus,Monsoon,3470
Suraj Kund,1020,9,1,Luxury,Train,Winter,66589
"Group of Monuments, Hampi",917,6,2,Budget,Train,Summer,13695
"Cave, Temple and Inscriptions, Junaar, Lenyadri",1611,8,6,Luxury,Bus,Monsoon,56185
"Rani Ki-Vav, Patan",1982,8,1,Luxury,Train,Winter,63467
Lohgad Fort,1161,8,4,Luxury,Car,Winter,79081
Sheikh Chilli's Tomb,574,3,6,Standard,Bus,Summer,15691
"Gol Gumbaz, Vijayapura",1199,2,6,Luxury,Car,Winter,29687
"Caves, Temples and inscriptions Karla",121,5,3,Standard,Train,Winter,21198
Rajarani Temple,342,4,6,Standard,Bus,Monsoon,15969
"Group of Temples at kiramchi, District Udhampur",2151,9,2,Budget,Train,Winter,27304
Tughluqabad,117,4,3,Standard,Train,Summer,15327
Tughluqabad,515,1,2,Standard,Car,Winter,8312
Sher Shah's Tomb,941,3,3,Standard,Car,Monsoon,14514
"Group of Temples at kiramchi, District Udhampur",890,4,3,Luxury,Train,Monsoon,25917
"Sun Temple, Konark",2490,9,5,Budget,Bus,Winter,40588
Group of Monuments Mamallapuram,263,2,7,Budget,Car,Summer,10810
Ram Bagh,1078,5,6,Budget,Train,Monsoon,16685
Shaniwarwada,1716,1,6,Luxury,Bus,Summer,11495
"Buddhist Remains on hill top at Guntupalli, W.G.District",313,3,5,Luxury,Car,Monsoon,20869
Buddhist Caves Kanheri,1803,2,1,Luxury,Train,Summer,18924
Palace of Tipu Sultan,1815,6,7,Standard,Train,Summer,38225
"Rock-cut Jain Temple, Sittannavasasl",706,9,6,Standard,Car,Winter,57063
"Ranghar Pavillion, Jaisagar",436,9,4,Budget,Bus,Summer,25763
Hoshang Shah's Tomb,690,6,7,Luxury,Car,Summer,57087
"Gupta Temple & Varah Temple, Deogarh",66,6,2,Standard,Train,Monsoon,16002
"The palace situated in the fort, Burhanpur",1483,7,1,Standard,Bus,Monsoon,18896
Aurangabad Caves,402,5,5,Budget,Train,Monsoon,14187
Ancient Remains on both Udaigiri & Khandagiri Hills,1927,7,1,Luxury,Car,Winter,64848
"Gupta Temple & Varah Temple, Deogarh",350,6,4,Standard,Bus,Summer,24639
"Kareghar of Ahom Kings, Sibasagar",1652,2,3,Budget,Bus,Winter,9001
Temple of Laxman and Old sites including sculptures sirpur,1423,8,4,Budget,Car,Summer,31311
Kotla Feroz Shah,372,2,4,Luxury,Bus,Summer,15777
"Group of four MaidansCharaideo, Sibasagar",1229,7,5,Standard,Train,Summer,35671
"Moovarkoil, Kodumbalur",725,1,1,Luxury,Bus,Winter,8581
Agra Fort,250,3,3,Budget,Car,Summer,8791
"Ancient site of Vaishali, Kolhua",2454,1,2,Budget,Train,Monsoon,8240
Kotla Feroz Shah,1138,1,5,Luxury,Car,Monsoon,13447
"Fort Museum, Thirumayam",444,4,6,Standard,Car,Summer,21995
Safdarjung Tomb,1805,8,4,Luxury,Train,Winter,75473
Hazarduari Palace,1692,4,1,Budget,Bus,Monsoon,7486
"Natural Caven with inscription eladipattam, Sittannavasal",2342,6,3,Standard,Bus,Monsoon,21907
Ancient Site of Vikramshila Antichak,105,8,2,Budget,Bus,Winter,16384
"Kareghar of Ahom Kings, Sibasagar",2145,6,6,Standard,Bus,Monsoon,27575
"Buddhist Remains on hill top at Guntupalli, W.G.District",236,8,5,Luxury,Car,Monsoon,50951
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",2124,7,7,Budget,Train,Monsoon,29575
"Ancient site of Vaishali, Kolhua",526,2,6,Budget,Bus,Summer,7626
"Sun Temple, Konark",1138,5,1,Standard,Train,Monsoon,14009
"Cave Temple & Inscriptions, Bhaja",1628,5,6,Budget,Train,Monsoon,18413
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",922,3,2,Budget,Train,Winter,10414
Taj Mahal,871,1,6,Budget,Train,Monsoon,5194
Observatory of Man Singh,788,6,2,Luxury,Bus,Winter,47176
Jantar Mantar,2420,2,4,Budget,Train,Summer,13648
Nagarjuna Kunda,271,2,5,Standard,Car,Monsoon,9874
Lohgad Fort,392,8,7,Luxury,Bus,Summer,69678
Fortress and Temple Chitrudurga Fort,619,3,1,Budget,Train,Summer,5835
Safdarjung Tomb,781,6,4,Standard,Bus,Summer,25768
"Temples & Sculpture Shed, lakkumdi",1407,2,6,Standard,Car,Monsoon,15294
"Rudabai Step Well, Adalaj",1970,8,3,Budget,Bus,Winter,25623
Golconda,1618,8,3,Budget,Train,Monsoon,18223
Elephanta Caves,1834,9,5,Standard,Car,Summer,51300
Ancient Palace Leh,1391,2,2,Standard,Train,Monsoon,9344
"Buddhist Monuments, Sanchi",454,8,5,Standard,Train,Winter,43972
Rock-cut Temples and Sculptures,1647,4,4,Luxury,Train,Summer,35076
Bishnudol,454,6,7,Budget,Bus,Summer,26071
Caves 1 t0 20 Udaygiri Vidisha,2431,2,7,Standard,Car,Winter,31905
Rani Jhansi Fort,1577,3,2,Luxury,Bus,Summer,23142
"Avantiswamin Temple, Avantipur, District Pulwama",2425,4,5,Luxury,Train,Winter,45337
"Rudabai Step Well, Adalaj",1137,6,5,Standard,Bus,Winter,35539
Cooch Bihar Palace,1952,1,7,Luxury,Bus,Monsoon,10047
Hazarduari Palace,854,4,1,Standard,Train,Summer,14562
"Gupta Temple & Varah Temple, Deogarh",74,1,2,Budget,Train,Monsoon,2747
"Cave Temple & Inscriptions, Bhaja",1635,4,4,Budget,Car,Monsoon,18177
Keshava Temple,734,4,2,Standard,Bus,Summer,14974
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",169,1,5,Standard,Bus,Winter,6499
"Buddhish Caves, Junagadh",2136,9,5,Luxury,Bus,Summer,73464
"Champaner Monuments, Pavagadh",1873,5,4,Budget,Car,Winter,30079
Mariam tomb Sikandra,2363,2,5,Standard,Bus,Winter,16175
"Buddhist Remains on hill top at Guntupalli, W.G.District",1728,9,7,Budget,Train,Winter,49015
Metcelf-Hall,1959,6,4,Budget,Car,Winter,34756
"Caves, Temples and inscriptions Karla",384,9,2,Luxury,Bus,Monsoon,47296
Excavated Remains at Nalanda,281,7,3,Luxury,Train,Monsoon,40767
Residency Building,308,7,2,Budget,Bus,Monsoon,10236
Golconda,183,4,3,Standard,Bus,Summer,13999
Hoshang Shah's Tomb,529,7,1,Standard,Train,Monsoon,16772
Lohgad Fort,1485,6,2,Standard,Bus,Summer,22709
"Bekal Fort, Pallikkare, Distt. Kasargod",285,8,4,Budget,Bus,Monsoon,18488
Kotla Feroz Shah,1483,4,6,Standard,Train,Summer,24600
Humayun Tomb,1315,7,3,Budget,Train,Winter,22835
Rock-cut Temples and Sculptures,688,1,3,Standard,Car,Summer,7501
Observatory of Man Singh,1973,3,1,Budget,Bus,Winter,9352
Fatehpur Sikri,2481,4,1,Standard,Car,Monsoon,23061
Rani Jhansi Fort,96,4,7,Standard,Car,Monsoon,18737
Aurangabad Caves,1058,5,3,Standard,Bus,Monsoon,17487
Dariya Daulath Bagh,2209,1,6,Standard,Car,Monsoon,15525
Ancient Site Bhangarh,878,9,6,Standard,Bus,Summer,46115
"Palace Complex at Ramnagar, Distt. Udhampur",2344,4,6,Standard,Train,Monsoon,22323
Tirumalai Nayak's Palace Srivilliputhur,2479,8,6,Luxury,Train,Monsoon,60903
Hoshang Shah's Tomb,742,3,6,Luxury,Train,Monsoon,22301
Roopmati's Pavilion,1507,1,6,Budget,Bus,Winter,8434
"Group of monument, Royal Palace Mandu",2081,1,6,Budget,Bus,Monsoon,7096
Tughluqabad,1719,4,3,Luxury,Train,Winter,40162
Group of Monuments Mamallapuram,1691,9,6,Standard,Bus,Monsoon,39207
Lord Cornwallis Tomb,666,6,7,Luxury,Bus,Winter,62226
Pandulena Caves,217,9,7,Luxury,Train,Winter,91945
Fortress and Temple Chitrudurga Fort,1774,7,1,Standard,Bus,Winter,27600
Red Fort,1839,7,7,Luxury,Train,Monsoon,53693
"Ancient site of Vaishali, Kolhua",2206,2,4,Standard,Car,Summer,22709
Elephanta Caves,798,1,1,Standard,Car,Summer,7357
Hauzkhas,1077,5,5,Standard,Bus,Summer,24544
"Avantiswamin Temple, Avantipur, District Pulwama",779,5,3,Standard,Car,Summer,22784
Ancient Remains on both Udaigiri & Khandagiri Hills,393,3,4,Luxury,Car,Winter,29472
"Gol Gumbaz, Vijayapura",2378,3,5,Budget,Train,Monsoon,14464
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",354,9,7,Luxury,Bus,Winter,92488
Mariam tomb Sikandra,600,3,3,Budget,Train,Winter,10312
Durga temple complex Aihole,1864,8,1,Standard,Car,Winter,39625
Lohgad Fort,159,8,6,Luxury,Train,Summer,65575
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,940,1,3,Luxury,Train,Winter,12865
Bellary Fort,277,2,2,Standard,Bus,Winter,8081
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",976,9,2,Standard,Car,Summer,34533
"Jaina & Vaishnava Cave, Badami",1896,9,7,Budget,Car,Summer,48924
"Rani Ki-Vav, Patan",1676,2,2,Standard,Bus,Summer,9961
Mariam tomb Sikandra,1288,3,7,Budget,Train,Monsoon,14442
"Ruined Fort, kangra",418,1,7,Standard,Bus,Summer,5862
"Palace Complex at Ramnagar, Distt. Udhampur",1901,4,1,Luxury,Car,Monsoon,30585
Fort Vattakottai,436,3,5,Budget,Train,Summer,10840
Group of Monuments (WH) Pattadakal,271,9,6,Luxury,Bus,Monsoon,61421
"Group of monument, Royal Palace Mandu",179,1,3,Standard,Car,Monsoon,3572
"Western Group of Temples, Khajuraho",1321,2,7,Luxury,Car,Monsoon,20683
"Caves, Temples and inscriptions Karla",354,8,2,Standard,Bus,Monsoon,20442
"Ibrahim Rauza, Bijapur",1771,3,4,Luxury,Bus,Winter,31318
Ancient Remains on both Udaigiri & Khandagiri Hills,1909,4,1,Luxury,Bus,Summer,28461
Aga  Khan Palace Building,1579,8,5,Standard,Bus,Summer,38996
Hazarduari Palace,341,8,7,Budget,Bus,Monsoon,26642
Ancient Palace Leh,447,8,1,Standard,Bus,Monsoon,17547
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",809,5,3,Luxury,Car,Monsoon,31803
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,1144,8,5,Budget,Bus,Summer,27897
Metcelf-Hall,1707,2,6,Standard,Car,Winter,25808
"Natural Caven with inscription eladipattam, Sittannavasal",699,5,2,Luxury,Bus,Summer,33184
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",1536,8,3,Standard,Train,Monsoon,28041
Bishnupur Temples,1532,4,4,Standard,Car,Summer,26496
Tughluqabad,2185,1,4,Standard,Bus,Monsoon,7640
Hauzkhas,950,8,6,Luxury,Car,Winter,84424
Humayun Tomb,222,1,4,Luxury,Bus,Monsoon,6833
"Palace Complex at Ramnagar, Distt. Udhampur",987,9,1,Standard,Car,Winter,36727
Daulatabad Fort,652,8,3,Standard,Train,Winter,35388
"Buddhist Remains on hill top at Guntupalli, W.G.District",1288,1,4,Budget,Train,Monsoon,6562
"Group of monument, Royal Palace Mandu",1419,7,3,Budget,Bus,Winter,22022
